"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","82","47.9825","50","22","10","43","110","0.671","53.6","56.91","48.50","38.47","40.11","48.96","27.81","29.01","48.94","2.21","1.85","54.36","2.02","2.15","48.45","23.08","25.29","47.72","13.77","14.37","48.93","1.76","1.6","52.40","12.78","88.88","9.55","10.15","48.46","7.08","7.28","49.30","1.12","1.1","50.51","15.80","84.95","13.5","15.13","47.16","6.67","7.09","48.47","0.64","0.5","56.12","9.60","92.94","25.87","26.04","49.84","13.06","13.28","49.59","0.43","0.24","63.63","3.26","98.17","7.94","93.61","1.016"
"2","Toronto Maple Leafs","82","46.9947","30","44","8","25","68","0.415","50.77","61.21","45.34","38.46","46.49","45.27","27.49","33","45.45","2.09","2.67","43.88","1.95","2.52","43.62","22.95","28.93","44.24","14.21","17.39","44.96","1.68","2.12","44.18","11.83","87.79","8.83","11.33","43.80","6.8","8.3","45.06","1.07","1.26","45.93","15.70","84.85","14.06","17.63","44.36","7.41","9.08","44.92","0.61","0.86","41.56","8.25","90.54","24.35","27.87","46.63","12.4","14.55","46.01","0.39","0.54","42.26","3.16","96.32","7.61","91.90","0.995"
"3","Philadelphia Flyers","82","47.9266","33","31","18","30","84","0.512","52.96","55.09","49.01","38.28","40.43","48.64","27.33","29.21","48.33","2.02","2.05","49.60","1.98","2.16","47.75","22.31","22.92","49.33","13.43","13.47","49.92","1.76","1.82","49.11","13.08","86.50","8.75","10.21","46.16","6.63","7.55","46.75","1.18","1.35","46.59","17.81","82.08","13.54","12.71","51.57","6.79","5.93","53.41","0.58","0.47","55.33","8.52","92.12","25.02","26.56","48.51","12.6","14.45","46.59","0.25","0.22","53.15","2.02","98.45","7.37","92.99","1.004"
"4","Boston Bruins","82","49.1866","41","27","14","37","96","0.585","55.48","51.31","51.95","40.66","39.23","50.90","29.38","28.62","50.66","2.08","2.02","50.71","2.01","1.89","51.59","23.1","22.06","51.16","14.13","14.01","50.20","1.63","1.76","48.08","11.53","87.45","9.15","8.13","52.96","6.91","6.25","52.49","1.17","1.19","49.51","16.88","80.99","13.94","13.91","50.04","7.22","7.75","48.24","0.46","0.57","44.88","6.39","92.69","27.86","25.68","52.03","13.68","13.35","50.61","0.42","0.25","63.02","3.07","98.15","7.07","92.95","1.000"
"5","Vancouver Canucks","82","47.8768","48","29","5","42","101","0.616","52.95","54.18","49.43","39.94","39.58","50.23","29.19","28.92","50.23","2.28","2.43","48.41","2.09","2.21","48.58","24.8","26.81","48.05","14.76","15.61","48.59","1.95","2.14","47.78","13.24","86.32","10.21","10.91","48.35","7.42","8.12","47.75","1.34","1.5","47.23","18.03","81.59","14.57","15.9","47.81","7.32","7.5","49.39","0.61","0.64","48.84","8.36","91.45","24.19","23.53","50.69","13","12.31","51.37","0.31","0.29","51.44","2.37","97.64","7.80","91.61","0.994"
"6","Calgary Flames","82","49.0234","45","30","7","41","97","0.591","49.29","62.38","44.14","35.34","42.38","45.47","25.13","29.55","45.96","2.25","2.3","49.48","1.93","2.29","45.74","22.36","27.21","45.11","13.52","15.77","46.15","1.91","1.85","50.77","14.13","88.26","8.51","10.56","44.64","6.37","7.96","44.46","1.23","1.23","50.04","19.26","84.61","13.82","16.65","45.36","7.15","7.8","47.82","0.69","0.63","52.19","9.59","91.95","22.84","28.54","44.45","10.95","12.58","46.54","0.34","0.44","43.59","3.13","96.47","8.97","92.21","1.012"
"7","San Jose Sharks","82","48.798","40","33","9","36","89","0.543","58.98","55.59","51.48","42.34","40.35","51.20","29.43","28.63","50.69","2.09","2.32","47.32","2.26","2.19","50.84","25.46","24.59","50.88","14.89","14.87","50.03","1.65","2.05","44.67","11.10","86.24","10.66","9.78","52.16","7.96","7.39","51.86","1.14","1.46","43.75","14.30","80.19","14.82","14.76","50.10","6.93","7.46","48.15","0.51","0.57","47.02","7.36","92.30","27.43","25.66","51.66","13.27","12.79","50.94","0.43","0.28","60.90","3.24","97.84","7.09","91.89","0.990"
"8","Los Angeles Kings","82","48.4809","40","27","15","38","95","0.579","59.25","46.93","55.80","44.17","36.09","55.04","30.84","25.35","54.89","2.33","1.88","55.35","2.23","1.87","54.38","24.76","21.99","52.97","14.71","13.11","52.87","1.78","1.64","52.05","12.11","87.49","9.84","8.26","54.38","7.16","6.1","53.99","1.33","1.02","56.50","18.58","83.22","14.93","13.71","52.13","7.55","7","51.91","0.45","0.62","42.11","5.94","91.18","28.68","21.1","57.61","14.57","11.16","56.63","0.53","0.24","69.02","3.67","97.85","7.56","92.57","1.001"
"9","Columbus Blue Jackets","82","47.16","42","35","5","33","89","0.543","49.05","55.92","46.72","37.44","42.96","46.57","27.71","31.83","46.54","2.23","2.6","46.11","1.99","2.26","46.89","23.66","25.45","48.18","14.76","16.5","47.21","1.82","2.23","45.05","12.36","86.52","10.1","10.22","49.71","7.92","8.28","48.91","1.29","1.57","45.19","16.32","81.05","13.49","15.23","46.97","6.83","8.22","45.38","0.53","0.67","44.13","7.72","91.88","21.96","25.81","45.98","12.36","14.16","46.59","0.4","0.36","52.60","3.22","97.47","8.03","91.83","0.999"
"10","Buffalo Sabres","82","48.7467","23","51","8","15","54","0.329","39.05","68.62","36.27","29.93","49.4","37.73","22.45","35.22","38.93","1.64","2.66","38.16","1.61","2.58","38.39","17.66","30.57","36.61","11.44","18","38.85","1.4","2.18","39.07","12.22","87.89","8.38","11.97","41.19","6.74","8.81","43.35","1.05","1.49","41.36","15.62","83.06","9.22","18.67","33.05","4.69","9.19","33.76","0.34","0.69","33.38","7.35","92.53","18","32.46","35.67","10.15","16.54","38.03","0.25","0.46","34.97","2.45","97.21","7.31","92.45","0.998"
"11","New Jersey Devils","82","48.2557","32","36","14","27","78","0.476","44.85","50.23","47.17","33.54","38.47","46.58","24.2","28.7","45.75","1.76","1.86","48.60","1.83","2.03","47.45","21.28","22.94","48.12","13.3","15.05","46.92","1.38","1.54","47.29","10.39","89.77","8.24","9.13","47.42","6.3","7.43","45.89","0.89","1.02","46.82","14.20","86.32","13.03","13.78","48.60","7","7.62","47.90","0.48","0.53","47.79","6.89","93.08","21.11","23.54","47.28","10.55","12.69","45.40","0.36","0.32","52.49","3.39","97.45","7.27","93.52","1.008"
