"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Toronto Maple Leafs","82","3971.05","40","27","15","39","95","0.579","3937","3876","50.39","2940","2969","49.75","2028","2087","49.28","169","161","51.21","156.74","154.6","50.34","1875","1703","52.40","1124","1042","51.89","138","130","51.49","12.28","87.52","708","670","51.38","524","503","51.02","102","83","55.14","19.47","83.50","1167","1033","53.05","600","539","52.68","36","47","43.37","6.00","91.28","1714","1857","48.00","842","979","46.24","31","31","50.00","3.68","96.83","8.33","92.29","1.006"
"2","Ottawa Senators","82","3925.9833","44","28","10","38","98","0.598","3595","3807","48.57","2616","2745","48.80","1925","1917","50.10","135","141","48.91","134.83","141.23","48.84","1566","1692","48.07","925","936","49.70","105","115","47.73","11.35","87.71","635","665","48.85","488","472","50.83","70","76","47.95","14.34","83.90","931","1027","47.55","437","464","48.50","35","39","47.30","8.01","91.59","1684","1735","49.25","916","923","49.81","30","26","53.57","3.28","97.18","7.01","92.64","0.997"
"3","St Louis Blues","82","3938.5167","46","29","7","44","99","0.604","3414","3390","50.18","2542","2495","50.47","1835","1800","50.48","154","138","52.74","134.3","127.9","51.22","1608","1531","51.23","970","947","50.60","127","117","52.05","13.09","87.65","610","574","51.52","446","428","51.03","78","76","50.65","17.49","82.24","998","957","51.05","524","519","50.24","49","41","54.44","9.35","92.10","1542","1539","50.05","813","797","50.50","27","21","56.25","3.32","97.37","8.39","92.33","1.007"
"4","Chicago Blackhawks","82","4063.9667","50","23","9","46","109","0.665","3773","3711","50.41","2708","2715","49.94","2015","2046","49.62","164","138","54.30","148.19","154.28","48.99","1708","1737","49.58","1049","1060","49.74","140","111","55.78","13.35","89.53","647","723","47.23","506","564","47.29","92","76","54.76","18.18","86.52","1061","1014","51.13","543","496","52.26","48","35","57.83","8.84","92.94","1730","1692","50.56","933","932","50.03","24","27","47.06","2.57","97.10","8.14","93.26","1.014"
"5","Calgary Flames","82","3887.1167","45","33","4","41","94","0.573","3486","3413","50.53","2546","2538","50.08","1843","1802","50.56","140","144","49.30","128.98","137.68","48.37","1518","1522","49.93","919","931","49.68","117","124","48.55","12.73","86.68","593","624","48.73","448","474","48.59","79","84","48.47","17.63","82.28","925","898","50.74","471","457","50.75","38","40","48.72","8.07","91.25","1653","1604","50.75","887","814","52.15","22","19","53.66","2.48","97.67","7.60","92.01","0.996"
"6","Edmonton Oilers","82","4010.3333","47","26","9","43","103","0.628","3663","3665","49.99","2739","2636","50.96","2005","1922","51.06","166","140","54.25","153.6","150.12","50.57","1753","1749","50.06","1110","1069","50.94","140","121","53.64","12.61","88.68","762","737","50.83","573","547","51.16","97","88","52.43","16.93","83.91","991","1012","49.48","537","522","50.71","43","33","56.58","8.01","93.68","1646","1579","51.04","849","790","51.80","25","17","59.52","2.94","97.85","8.28","92.72","1.010"
"7","Los Angeles Kings","82","3976.2","39","35","8","37","86","0.524","3970","3250","54.99","2926","2400","54.94","2028","1675","54.77","127","133","48.85","154.86","128.24","54.70","1776","1546","53.46","1004","892","52.95","102","118","46.36","10.16","86.77","702","566","55.36","471","406","53.71","71","82","46.41","15.07","79.80","1074","980","52.29","533","486","52.31","31","36","46.27","5.82","92.59","1841","1445","56.03","955","718","57.08","25","15","62.50","2.62","97.91","6.26","92.06","0.983"
"8","San Jose Sharks","82","4009.2167","46","29","7","44","99","0.604","3875","3704","51.13","2805","2587","52.02","1931","1795","51.83","151","135","52.80","154.57","143.37","51.88","1788","1681","51.54","1008","951","51.45","124","115","51.88","12.30","87.91","788","706","52.74","576","503","53.38","89","79","52.98","15.45","84.29","1000","975","50.63","432","448","49.09","35","36","49.30","8.10","91.96","1737","1636","51.50","877","763","53.48","23","19","54.76","2.62","97.51","7.82","92.48","1.003"
"9","Montreal Canadiens","82","4022.3667","47","26","9","44","103","0.628","3940","3559","52.54","2837","2574","52.43","2040","1910","51.65","154","129","54.42","151.91","132.88","53.34","1694","1538","52.41","1001","927","51.92","131","100","56.71","13.09","89.21","746","637","53.94","543","464","53.92","87","57","60.42","16.02","87.72","948","901","51.27","458","463","49.73","44","43","50.57","9.61","90.71","1841","1702","51.96","983","907","52.01","23","29","44.23","2.34","96.80","7.55","93.25","1.008"
"10","Buffalo Sabres","82","4030.8","33","37","12","31","78","0.476","3486","3895","47.23","2675","2977","47.33","1965","2187","47.33","126","155","44.84","137.29","152.13","47.44","1501","1646","47.70","955","1024","48.26","108","129","45.57","11.31","87.40","683","691","49.71","545","511","51.61","72","92","43.90","13.21","82.00","818","955","46.14","410","513","44.42","36","37","49.32","8.78","92.79","1673","1938","46.33","928","1122","45.27","16","25","39.02","1.72","97.77","6.41","92.91","0.993"
