"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New Jersey Devils","5","224.8333","1","4","188","217","46.42","150","174","46.30","115","120","48.94","6","9","40.00","6.89","9.02","43.29","74","101","42.29","51","65","43.97","4","7","36.36","7.84","89.23","27","35","43.55","21","29","42.00","0","4","0.00","0.00","86.21","47","66","41.59","30","36","45.45","4","3","57.14","13.33","91.67","94","104","47.47","55","48","53.40","2","2","50.00","3.64","95.83","5.22","92.50","0.977"
"2","Tampa Bay Lightning","17","818.5333","11","6","778","703","52.53","576","542","51.52","389","391","49.87","27","27","50.00","29.12","25.25","53.56","349","316","52.48","209","202","50.85","24","19","55.81","11.48","90.59","132","106","55.46","93","81","53.45","15","5","75.00","16.13","93.83","217","210","50.82","116","121","48.95","9","14","39.13","7.76","88.43","373","331","52.98","158","169","48.32","3","8","27.27","1.90","95.27","6.94","93.09","1.000"
"3","Toronto Maple Leafs","7","342.2333","3","4","321","352","47.70","241","271","47.07","162","195","45.38","14","18","43.75","12.89","14.22","47.55","159","170","48.33","94","110","46.08","14","14","50.00","14.89","87.27","58","57","50.43","52","40","56.52","9","7","56.25","17.31","82.50","101","113","47.20","42","70","37.50","5","7","41.67","11.90","90.00","132","162","44.90","53","75","41.41","0","4","0.00","0.00","94.67","8.64","90.77","0.994"
"4","Boston Bruins","12","593.1667","5","7","554","568","49.38","414","424","49.40","294","287","50.60","24","24","50.00","20.55","21.57","48.79","253","267","48.65","158","157","50.16","18","23","43.90","11.39","85.35","82","96","46.07","59","81","42.14","9","15","37.50","15.25","81.48","171","171","50.00","99","76","56.57","9","8","52.94","9.09","89.47","265","250","51.46","124","106","53.91","6","1","85.71","4.84","99.06","8.16","91.64","0.998"
"5","Columbus Blue Jackets","6","327.9667","2","4","328","318","50.77","236","221","51.64","161","160","50.16","13","12","52.00","11.1","11.69","48.71","140","144","49.30","72","86","45.57","11","8","57.89","15.28","90.70","49","66","42.61","38","49","43.68","7","4","63.64","18.42","91.84","91","78","53.85","34","37","47.89","4","4","50.00","11.76","89.19","160","139","53.51","76","62","55.07","2","4","33.33","2.63","93.55","8.07","92.50","1.006"
"6","Washington Capitals","24","1206.0333","16","8","1126","1180","48.83","833","828","50.15","580","549","51.37","52","38","57.78","43.1","42.88","50.13","540","521","50.90","316","278","53.20","43","34","55.84","13.61","87.77","208","216","49.06","146","142","50.69","25","24","51.02","17.12","83.10","332","305","52.12","170","136","55.56","18","10","64.29","10.59","92.65","473","552","46.15","225","241","48.28","9","4","69.23","4.00","98.34","8.97","93.08","1.020"
"7","Philadelphia Flyers","6","259.75","2","4","223","238","48.37","152","179","45.92","106","138","43.44","9","21","30.00","8.16","9.78","45.49","101","119","45.91","61","76","44.53","6","18","25.00","9.84","76.32","34","41","45.33","21","32","39.62","3","12","20.00","14.29","62.50","67","78","46.21","40","44","47.62","3","6","33.33","7.50","86.36","87","95","47.80","38","57","40.00","3","3","50.00","7.89","94.74","8.49","84.78","0.933"
"8","Pittsburgh Penguins","12","559.5667","6","6","522","510","50.58","382","349","52.26","265","241","52.37","28","21","57.14","20.94","17.86","53.97","254","239","51.52","147","126","53.85","23","17","57.50","15.65","86.51","101","78","56.42","73","43","62.93","14","11","56.00","19.18","74.42","153","161","48.73","74","83","47.13","9","6","60.00","12.16","92.77","219","208","51.29","109","100","52.15","5","4","55.56","4.59","96.00","10.57","91.29","1.019"
"9","Colorado Avalanche","6","273.5333","2","4","249","303","45.11","167","222","42.93","128","162","44.14","10","15","40.00","8.83","10.56","45.52","104","113","47.93","64","63","50.39","9","11","45.00","14.06","82.54","38","44","46.34","30","35","46.15","8","6","57.14","26.67","82.86","66","69","48.89","34","28","54.84","1","5","16.67","2.94","82.14","107","155","40.84","54","87","38.30","1","4","20.00","1.85","95.40","7.81","90.74","0.986"
"10","Nashville Predators","13","648.1","7","6","697","637","52.25","513","455","53.00","368","328","52.87","27","25","51.92","25.7","25.22","50.47","301","281","51.72","174","169","50.73","22","21","51.16","12.64","87.57","118","111","51.53","85","81","51.20","16","17","48.48","18.82","79.01","183","170","51.84","89","88","50.28","6","4","60.00","6.74","95.45","319","264","54.72","171","132","56.44","5","3","62.50","2.92","97.73","7.34","92.38","0.997"
"11","Minnesota Wild","5","253.4333","1","4","197","283","41.04","140","210","40.00","102","151","40.32","6","12","33.33","6.56","10.04","39.53","77","116","39.90","45","65","40.91","5","8","38.46","11.11","87.69","32","46","41.03","25","31","44.64","3","4","42.86","12.00","87.10","45","70","39.13","20","34","37.04","2","4","33.33","10.00","88.24","99","135","42.31","50","75","40.00","1","4","20.00","2.00","94.67","5.88","92.05","0.979"
