"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Columbus Blue Jackets","10","513.7","6","4","426","509","45.56","322","372","46.40","242","275","46.81","15","19","44.12","15.67","17.67","47.01","183","209","46.68","13","17","43.33","10.57","86.29","73","79","48.03","7","9","43.75","12.73","83.64","6.20","93.09","0.993"
"2","Tampa Bay Lightning","4","204.0833","0","4","181","150","54.68","128","111","53.56","98","85","53.55","6","8","42.86","6.46","5.32","54.86","78","66","54.17","4","7","36.36","9.30","84.09","31","25","55.36","3","4","42.86","13.64","78.95","6.12","90.59","0.967"
"3","Toronto Maple Leafs","7","351.7","3","4","358","347","50.78","270","275","49.54","189","198","48.84","12","11","52.17","13.86","13.25","51.13","178","168","51.45","8","10","44.44","7.48","90.57","58","60","49.15","4","6","40.00","10.53","86.67","6.35","94.44","1.008"
"4","Boston Bruins","24","1185.3833","15","9","1100","1076","50.55","844","793","51.56","620","567","52.23","42","38","52.50","43.42","40.37","51.82","499","490","50.46","37","30","55.22","11.67","90.07","194","178","52.15","22","16","57.89","14.86","87.10","6.77","93.30","1.001"
"5","Carolina Hurricanes","15","732.6","8","7","728","582","55.57","534","422","55.86","357","303","54.09","30","22","57.69","27.95","25.63","52.16","306","284","51.86","26","18","59.09","15.95","89.71","133","133","50.00","21","13","61.76","24.42","87.50","8.40","92.74","1.011"
"6","Washington Capitals","7","353","3","4","257","376","40.60","191","281","40.47","136","194","41.21","12","16","42.86","10.67","14.79","41.90","120","154","43.80","10","15","40.00","13.70","81.93","53","70","43.09","7","13","35.00","17.07","73.47","8.82","91.75","1.006"
"7","Pittsburgh Penguins","4","188.9833","0","4","223","177","55.75","165","130","55.93","112","89","55.72","4","10","28.57","8.3","8.29","50.03","100","102","49.50","3","8","27.27","4.69","86.44","37","42","46.84","1","6","14.29","3.85","82.35","3.57","88.76","0.923"
"8","New York Islanders","8","381.7","4","4","354","410","46.34","252","301","45.57","178","197","47.47","12","14","46.15","15.75","15.85","49.83","189","184","50.67","9","12","42.86","7.96","88.89","80","76","51.28","6","9","40.00","9.68","82.69","6.74","92.89","0.996"
"9","Dallas Stars","13","675.4667","7","6","606","708","46.12","431","501","46.24","320","375","46.04","23","27","46.00","26.46","28.6","48.06","319","350","47.68","21","19","52.50","11.41","90.21","136","121","52.92","14","12","53.85","13.59","86.96","7.19","92.80","1.000"
"10","Nashville Predators","6","300.5833","2","4","336","296","53.16","234","197","54.29","176","152","53.66","12","14","46.15","14.83","11.87","55.54","178","161","52.51","8","12","40.00","8.08","86.81","63","65","49.22","5","8","38.46","10.00","84.62","6.82","90.79","0.976"
"11","St Louis Blues","26","1317.0833","16","10","1169","1139","50.65","851","837","50.41","621","596","51.03","56","40","58.33","45.54","47.13","49.14","547","544","50.14","44","34","56.41","13.54","89.31","196","213","47.92","28","25","52.83","18.42","83.77","9.02","93.29","1.023"
"12","Winnipeg Jets","6","306.6667","2","4","271","273","49.82","198","203","49.38","141","151","48.29","11","10","52.38","11.19","10.13","52.49","134","125","51.74","10","8","55.56","12.35","89.87","52","38","57.78","10","5","66.67","25.00","83.33","7.80","93.38","1.012"
"13","Colorado Avalanche","12","571","7","5","586","565","50.91","416","398","51.11","310","292","51.50","22","20","52.38","26.33","21.56","54.98","305","262","53.79","20","20","50.00","10.64","87.73","128","103","55.41","15","10","60.00","14.71","87.80","7.10","93.15","1.002"
"14","Calgary Flames","5","235.4667","1","4","219","267","45.06","158","199","44.26","119","150","44.24","4","8","33.33","7.47","11.24","39.93","99","134","42.49","4","7","36.36","6.25","91.67","42","54","43.75","2","3","40.00","5.88","93.48","3.36","94.67","0.980"
"15","Vegas Golden Knights","7","359.2333","3","4","362","324","52.77","268","212","55.83","190","149","56.05","14","9","60.87","15.34","11.68","56.77","155","150","50.82","13","8","61.90","13.00","89.47","75","60","55.56","11","7","61.11","19.64","81.58","7.37","93.96","1.013"
"16","San Jose Sharks","20","993.1167","10","10","951","928","50.61","641","671","48.86","442","478","48.04","35","44","44.30","35.66","41.52","46.20","442","449","49.61","32","37","46.38","13.50","86.55","167","201","45.38","20","30","40.00","17.54","80.39","7.92","90.79","0.987"
